# English Elements with Recipes
# Format: TSV - id, name, emoji, parents (empty for base elements)
id	name	emoji	parents
bacteria	Bacteria	🧫	life+swamp
antibiotic	Antibiotic	💊	medicine+bacteria
vaccine	Vaccine	💉	medicine+virus
ant	Ant	🐜	animal+sugar
spider	Spider	🕷️	animal+web
web	Web	🕸️	spider+thread
honeycomb	Honeycomb	🍯🐝	bee+wax
hexagon	Hexagon	⬡	geometry+six
geometry	Geometry	📐	math+shape
math	Math	➗	number+logic
number	Number	🔢	human+count
calendar	Calendar	📅	time+paper
clock	Clock	⏰	time+metal
alarm	Alarm	🚨	clock+sound
music_box	Music Box	🎼📦	music+box
box	Box	📦	wood+tool
gift	Gift	🎁	box+love
present	Present	🎁	gift+time
camera	Camera	📷	light+box
film	Film	🎞️	camera+time
movie	Movie	🎬	film+story
actor	Actor	🎭	human+movie
director	Director	🎬🧑‍💼	human+movie
popcorn	Popcorn	🍿	corn+fire
corn	Corn	🌽	plant+sun
pizza_slice	Pizza Slice	🍕🔪	pizza+blade
burger	Burger	🍔	bread+meat
meat	Meat	🥩	animal+blade
sausage	Sausage	🌭	meat+tube
hotdog	Hotdog	🌭	sausage+bread
soda	Soda	🥤	water+sugar
ice_cream	Ice Cream	🍦	milk+ice
cake	Cake	🍰	flour+sugar
cookie	Cookie	🍪	flour+sugar
chocolate	Chocolate	🍫	cocoa+sugar
owl	Owl	🦉	bird+night
bat	Bat	🦇	bird+vampire
wolfpack	Wolfpack	🐺🐺	wolf+wolf
werecat	Werecat	🐱🌕	cat+werewolf
phoenix_egg	Phoenix Egg	🥚🐦‍🔥	phoenix+egg
griffin	Griffin	🦅🦁	eagle+lion
lion	Lion	🦁	cat+wild
tiger	Tiger	🐯	cat+orange
bear	Bear	🐻	animal+forest
panda	Panda	🐼	bear+bamboo
bamboo	Bamboo	🎍	grass+asia
asia	Asia	🗾	continent+rice
europe	Europe	🌍	continent+castle
africa	Africa	🦁	continent+lion
america	America	🦅	continent+eagle
eagle	Eagle	🦅	bird+mountain
kangaroo	Kangaroo	🦘	animal+australia
australia	Australia	🇦🇺	continent+kangaroo
island	Island	🏝️	water+volcano
volcano_island	Volcano Island	🌋🏝️	volcano+island
lava_lamp	Lava Lamp	🪔	lava+glass
mirror	Mirror	🪞	glass+silver
magnifying_glass	Magnifying Glass	🔍	glass+sun
prism	Prism	🔺	glass+light
light	Light	💡	electricity+glass
shadow	Shadow	🌑	light+wall
rainbow	Rainbow	🌈	light+rain
storm_cloud	Storm Cloud	🌩️	cloud+electricity
tornado	Tornado	🌪️	wind+storm
hurricane	Hurricane	🌀	wind+ocean
tsunami_warning	Tsunami Warning	🚨	tsunami+alarm
flood	Flood	🌊	rain+river
drought	Drought	🌵	desert+time
cactus	Cactus	🌵	plant+desert
rose	Rose	🌹	flower+love
treehouse	Treehouse	🏡	tree+house
log_cabin	Log Cabin	🏚️	wood+house
skyscraper	Skyscraper	🏢	building+sky
submarine	Submarine	🚢🌊	ship+water
spacesuit	Spacesuit	👨‍🚀	clothing+space
alien_plant	Alien Plant	🪐🌱	plant+alien
alien_animal	Alien Animal	👽🐾	animal+alien
portal	Portal	🌀	magic+space
wizard_hat	Wizard Hat	🧙‍♂️🧢	wizard+hat
spellbook	Spellbook	📖🪄	book+magic
crystal_ball	Crystal Ball	🔮	glass+magic
fairy	Fairy	🧚	magic+flower
goblin	Goblin	👺	magic+cave
troll	Troll	👹	magic+bridge
unicorn_horn	Unicorn Horn	🦄🦴	unicorn+bone
bone	Bone	🦴	animal+death 
