# Element Recipes Configuration
# Format: TSV - id, recipe (recipe as two IDs, e.g., id1+id2; empty for base elements)
id	recipe
love	human+human
dream	human+night
cold	rain+wind
ice	water+cold
glacier	mountain+ice
avalanche	mountain+wind
desert	sand+sand
oasis	desert+water
jungle	forest+rain
fruit	tree+sun
garden	flower+grass
pollen	flower+wind
ink	charcoal+water
philosophy	human+knowledge
science	knowledge+tool
scientist	human+science
steam_engine	engine+steam
factory	house+tool
smoke	fire+wood
smog	smoke+mist
planet	earth+space
continent	earth+earth
country	civilization+continent
gold	sun+metal
diamond	pressure+charcoal
money	gold+paper
bank	house+money
war	country+country
army	warrior+warrior
gunpowder	dust+fire
gun	gunpowder+metal
soldier	human+gun
king	human+civilization
queen	king+love
castle	house+king
knight	warrior+horse
vampire	human+blood
werewolf	human+wolf
wolf	animal+moon
sickness	human+rain
doctor	human+sickness
hospital	house+doctor
medicine	doctor+plant
poison	plant+tool
rust	metal+water
wave	wind+lake
sound	air+wave
imagination	human+idea
idea	human+energy
mind	human+soul
soul	human+energy
happiness	human+love
sadness	human+rain
joy	human+sun
sleep	human+night
ruler	human+country
crown	metal+gold
debt	bank+money
peace	war+human
weapon	tool+blade
explosion	gunpowder+fire
treaty	country+paper
ash	fire+plant
river	mountain+water
bridge	river+wood
textile	tool+plant
clothing	textile+human
needle	metal+textile
thread	textile+tool
rope	thread+thread
sail	boat+textile
pyramid	desert+stone
mummy	human+pyramid
hieroglyphs	writing+pyramid
papyrus	plant+river
letter	paper+ink
mail	letter+letter
email	internet+mail
meme	internet+idea
sushi	fish+seaweed
seaweed	plant+sea
pizza	cheese+bread
cheese	milk+time
milk	livestock+grass
bread	flour+water
flour	wheat+stone
wheat	grass+farmer
alcohol	fruit+time
wine	fruit+alcohol
beer	wheat+alcohol
sake	rice+alcohol
rice	wheat+water
champagne	wine+gas
gas	air+energy
caviar	fish+egg
sweat	human+sun
steam_cloud	steam+steam
blizzard	snow+wind
snow	ice+air
robot_dog	robot+dog
dog	animal+human
cat	animal+night
mouse	animal+grass
cheese_wheel	cheese+wheel
wheel	tool+wood
cart	wheel+wood
bicycle	wheel+metal
train	steam_engine+metal
locomotive	train+steam
rocket	fire+metal
satellite	metal+space
telescope	glass+tool
microscope	glass+science
virus	life+poison
bacteria	life+mud
antibiotic	bacteria+medicine
vaccine	virus+medicine
ant	bacteria+grass
spider	animal+thread
web	spider+thread
honeycomb	bee+hexagon
hexagon	tool+geometry
geometry	science+math
math	science+number
number	tool+paper
calendar	time+paper
clock	time+tool
alarm	clock+sound
music_box	music+box
box	wood+tool
gift	box+love
present	gift+time
camera	glass+box
film	camera+paper
movie	film+story
actor	human+movie
director	human+movie
popcorn	corn+fire
corn	plant+sun
pizza_slice	pizza+blade
burger	bread+meat
meat	animal+blade
sausage	meat+fire
hotdog	bread+sausage
soda	water+gas
ice_cream	milk+ice
cake	bread+fruit
cookie	bread+chocolate
chocolate	plant+fire
owl	bird+night
bat	mouse+night
wolfpack	wolf+wolf
werecat	cat+moon
phoenix_egg	phoenix+egg
griffin	bird+lion
lion	cat+sun
tiger	cat+jungle
bear	animal+forest
panda	bear+bamboo
bamboo	plant+asia
asia	continent+mountain
europe	continent+castle
africa	continent+desert
america	continent+eagle
eagle	bird+mountain
kangaroo	animal+australia
australia	continent+island
island	sea+mountain
volcano_island	volcano+island
lava_lamp	lava+glass
mirror	glass+metal
magnifying_glass	glass+tool
prism	glass+light
light	sun+energy
shadow	light+night
rainbow	light+rain
storm_cloud	storm+cloud
tornado	wind+storm
hurricane	wind+sea
tsunami_warning	tsunami+alarm
flood	rain+river
drought	sun+desert
cactus	plant+desert
rose	flower+love
treehouse	tree+house
log_cabin	wood+house
skyscraper	house+city
submarine	ship+sea
spacesuit	space+clothing
alien_plant	plant+alien
alien_animal	animal+alien
portal	magic+space
wizard_hat	wizard+clothing
spellbook	book+spell
crystal_ball	glass+magic
fairy	angel+plant
goblin	human+magic
troll	human+mountain
unicorn_horn	unicorn+bone
bone	animal+tool 
